Constituency,MP,Party
Antrim East,"McCalmont, James",Irish Unionist
Antrim Mid,"O'Neill, Hon. Robert",Irish Unionist
Antrim North,"Glendinning, Robert",Russelite> Ind. Liberal
Antrim South,"Craig, Charles",Irish Unionist
Armagh Mid,"Lonsdale, John",Irish Unionist
Armagh North,"Saunderson, Rt Hon. Edward",Irish Unionist
Armagh South,"McKillop, William",Irish Parliamentary Party
"Belfast, East","Wolff, Gustav Wilhelm",Irish Unionist
Belfast North,"Dixon, Sir Daniel",Irish Unionist
Belfast South,"Sloan, Thomas",Independent Unionist
Belfast West,"Devlin, Joseph",Irish Parliamentary Party
Birr,"Reddy, Michael",Irish Parliamentary Party
Carlow,"Hammond, John",Irish Parliamentary Party
Cavan East,"Young, Samuel",Irish Parliamentary Party
Cavan West,"Kennedy, Vincent",Irish Parliamentary Party
Clare East,"Redmond, Willie",Irish Parliamentary Party
Clare West,"Halpin, James",Irish Parliamentary Party
Cork City,"O'Brien, William",Irish Parliamentary Party
Cork City,"Roche, Augustine",Irish Parliamentary Party
Cork East,"Donelan, Anthony John Charles",Irish Parliamentary Party
Cork Mid,"Sheehan, D. D.",Irish Parliamentary Party
Cork North,"Flynn, James Christopher",Irish Parliamentary Party
Cork North East,"Abraham, William",Irish Parliamentary Party
Cork South,"Barry, Edward",Irish Parliamentary Party
Cork South East,"Crean, Eugene",Irish Parliamentary Party
Cork West,"Gilhooly, James",Irish Parliamentary Party
Donegal East,"McVeigh, Charles",Irish Parliamentary Party
Donegal North,"O'Doherty, Philip",Irish Parliamentary Party
Donegal South,"Swift MacNeill, J. G.",Irish Parliamentary Party
Donegal West,"Law, Hugh",Irish Parliamentary Party
Down East,"Craig, James",Irish Unionist
Down North,"Corbett, Thomas Lorimer",Irish Unionist
Down South,"McVeagh, Jeremiah",Irish Parliamentary Party
Down West,"Liddell, Harry",Irish Unionist
Dublin North,"Clancy, J. J.",Irish Parliamentary Party
Dublin South,"Long, Rt Hon. Walter",Irish Unionist
Dublin College Green,"Nannetti, Joseph Patrick",Irish Parliamentary Party
Dublin Harbour,"Harrington, Timothy",Irish Parliamentary Party
Dublin St Patrick's,"Field, William",Irish Parliamentary Party
Dublin St Stephen's Green,"Waldron, Laurence",Irish Parliamentary Party
Dublin University,"Carson, Rt Hon. Sir Edward",Irish Unionist
Dublin University,"Campbell, James",Irish Unionist
Fermanagh North,"Fetherstonhaugh, Godfrey",Irish Unionist
Fermanagh South,"Jordan, Jeremiah",Irish Parliamentary Party
Galway Borough,"Devlin, Charles Ramsay",Irish Parliamentary Party
Galway Connemara,"O'Malley, William",Irish Parliamentary Party
Galway East,"Roche, John",Irish Parliamentary Party
Galway North,"Higgins, Thomas[1]",Irish Parliamentary Party
Galway South,"Duffy, William",Irish Parliamentary Party
Kerry East,"Murphy, John",Irish Parliamentary Party
Kerry North,"Flavin, Michael Joseph",Irish Parliamentary Party
Kerry South,"Boland, John Pius",Irish Parliamentary Party
Kerry West,"O'Donnell, Thomas",Irish Parliamentary Party
Kildare North,"O'Connor, John",Irish Parliamentary Party
Kildare South,"Kilbride, Denis",Irish Parliamentary Party
Kilkenny City,"O'Brien, Pat",Irish Parliamentary Party
Kilkenny North,"Devlin, Joseph",Irish Parliamentary Party
Kilkenny South,"O'Mara, James",Irish Parliamentary Party
Leitrim North,"McHugh, Patrick Aloysius",Irish Parliamentary Party
Leitrim South,"Smyth, Thomas Francis",Irish Parliamentary Party
Leix,"Meehan, Patrick Aloysius",Irish Parliamentary Party
Limerick City,"Joyce, Michael",Irish Parliamentary Party
Limerick East,"Lundon, William",Irish Parliamentary Party
Limerick West,"O'Shaughnessy, Patrick Joseph",Irish Parliamentary Party
Londonderry City,Marquess of Hamilton,Irish Unionist
Londonderry North,"Barrie, Hugh T.",Irish Unionist
Londonderry South,"Gordon, John",Liberal Unionist
Longford North,"Farrell, James Patrick",Irish Parliamentary Party
Longford South,"Blake, Edward",Irish Parliamentary Party
Louth North,"Healy, Timothy Michael",Independent Nationalist
Louth South,"Nolan, Joseph",Irish Parliamentary Party
Mayo East,"Dillon, John",Irish Parliamentary Party
Mayo North,"O'Kelly, Conor",Irish Parliamentary Party
Mayo South,"O'Donnell, John",Irish Parliamentary Party
Mayo West,"Ambrose, Robert",Irish Parliamentary Party
Meath North,"White, Patrick",Irish Parliamentary Party
Meath South,"Sheehy, David",Irish Parliamentary Party
Monaghan North,"O'Hare, Patrick",Irish Parliamentary Party
Monaghan South,"McKean, John",Irish Parliamentary Party
Newry,"Mooney, John Joseph",Irish Parliamentary Party
Ossory,"Delany, William",Irish Parliamentary Party
Roscommon North,"O'Kelly, James Joseph",Irish Parliamentary Party
Roscommon South,"Hayden, John Patrick",Irish Parliamentary Party
Sligo North,"McHugh, Patrick",Irish Parliamentary Party
Sligo South,"O'Dowd, John",Irish Parliamentary Party
Tipperary East,"Condon, Thomas",Irish Parliamentary Party
Tipperary Mid,"O'Brien, Kendal",Irish Parliamentary Party
Tipperary North,"Hogan, Michael",Irish Parliamentary Party
Tipperary South,"Cullinan, John",Irish Parliamentary Party
Tullamore,"Haviland-Burke, Edmund",Irish Parliamentary Party
Tyrone East,"Doogan, Patrick",Irish Parliamentary Party
Tyrone Mid,"Murnaghan, George",Irish Parliamentary Party
Tyrone North,"Dodd, William",Liberal
Tyrone South,"Russell, Thomas",Russelite -> Liberal
Waterford City,"Redmond, John",Irish Parliamentary Party
Waterford East,"Power, Patrick",Irish Parliamentary Party
Waterford West,"O'Shee, J. J.",Irish Parliamentary Party
Westmeath North,"Ginnell, Laurence",Irish Parliamentary Party
Westmeath South,"Sullivan, Donal",Irish Parliamentary Party
Wexford North,"Esmonde, Sir Thomas",Irish Parliamentary Party
Wexford South,"Ffrench, Peter",Irish Parliamentary Party
Wicklow East,"Cogan, Denis",Irish Parliamentary Party
Wicklow West,"O'Connor, James",Irish Parliamentary Party
