Constituency,MP,Party
Antrim East,James McCalmont,Irish Unionist
Antrim Mid,Hon. Arthur O'Neill,Irish Unionist
Antrim North,Peter Kerr-Smiley,Irish Unionist
Antrim South,Charles Craig,Irish Unionist
Armagh Mid,John Lonsdale,Irish Unionist
Armagh North,"Moore, William",Irish Unionist
Armagh South,Charles O'Neill,Irish Parliamentary Party
Belfast East,Robert James McMordie,Irish Unionist
Belfast North,Robert Thompson,Irish Unionist
Belfast South,James Chambers,Irish Unionist
Belfast West,Joseph Devlin,Irish Parliamentary Party
Birr,Michael Reddy,Irish Parliamentary Party
County Carlow,Michael Molloy,Irish Parliamentary Party
Cavan East,Samuel Young,Irish Parliamentary Party
Cavan West,Vincent Kennedy,Irish Parliamentary Party
Clare East,Willie Redmond,Irish Parliamentary Party
Clare West,Arthur Alfred Lynch,Irish Parliamentary Party
Cork City,William O'Brien,All-for-Ireland League
Cork City,Maurice Healy,All-for-Ireland League
County Cork East,Anthony Donelan,Irish Parliamentary Party
County Cork Mid,D. D. Sheehan,All-for-Ireland League
County Cork North,Patrick Guiney,All-for-Ireland League
County Cork North East,Moreton Frewen,All-for-Ireland League
County Cork South,John Walsh,All-for-Ireland League
County Cork South East,Eugene Crean,All-for-Ireland League
County Cork West,James Gilhooly,All-for-Ireland League
Donegal East,Edward Kelly,Irish Parliamentary Party
Donegal North,Philip O'Doherty,Irish Parliamentary Party
Donegal South,Swift MacNeill,Irish Parliamentary Party
Donegal West,Hugh Alexander Law,Irish Parliamentary Party
Down East,James Craig,Irish Unionist
Down North,William Mitchell-Thomson,Irish Unionist
Down South,Jeremiah McVeagh,Irish Parliamentary Party
Down West,William MacCaw,Liberal Unionist
Dublin County North,J. J. Clancy,Irish Parliamentary Party
Dublin County South,William Francis Cotton,Irish Parliamentary Party
Dublin College Green,Joseph Patrick Nannetti,Irish Parliamentary Party
Dublin Harbour,William Abraham,Irish Parliamentary Party
Dublin St Patrick's,William Field,Irish Parliamentary Party
Dublin St Stephen's Green,P. J. Brady,Irish Parliamentary Party
Dublin University,Sir Edward Carson,Irish Unionist Party
Dublin University,James Campbell,Irish Unionist Party
Fermanagh North,Godfrey Fetherstonhaugh,Irish Unionist
Fermanagh South,Patrick Crumley,Irish Parliamentary Party
Galway Borough,Stephen Gwynn,Irish Parliamentary Party
Galway Connemara,William O'Malley,Irish Parliamentary Party
County Galway East,John Roche,Irish Parliamentary Party
County Galway North,Richard Hazleton,Irish Parliamentary Party
County Galway South,William Duffy,Irish Parliamentary Party
Kerry East,Timothy O'Sullivan,Irish Parliamentary Party
Kerry North,Michael Joseph Flavin,Irish Parliamentary Party
Kerry South,John Pius Boland,Irish Parliamentary Party
Kerry West,Thomas O'Donnell,Irish Parliamentary Party
Kildare North,John O'Connor,Irish Parliamentary Party
Kildare South,Denis Kilbride,Irish Parliamentary Party
Kilkenny City,Pat O'Brien,Irish Parliamentary Party
County Kilkenny North,Michael Meagher,Irish Parliamentary Party
County Kilkenny South,Matthew Keating,Irish Parliamentary Party
Leitrim North,Francis Meehan,Irish Parliamentary Party
Leitrim South,Thomas Francis Smyth,Irish Parliamentary Party
Leix,Patrick Aloysius Meehan,Irish Parliamentary Party
Limerick City,Michael Joyce,Irish Parliamentary Party
County Limerick East,Thomas Lundon,Irish Parliamentary Party
County Limerick West,Patrick Joseph O'Shaughnessy,Irish Parliamentary Party
Londonderry,The Marquess of Hamilton,Irish Unionist
Londonderry North,Hugh T. Barrie,Irish Unionist
Londonderry South,John Gordon,Liberal Unionist
Longford North,James Patrick Farrell,Irish Parliamentary Party
Longford South,John Phillips,Irish Parliamentary Party
Louth North,Richard Hazleton,Irish Parliamentary Party
Louth South,Joseph Nolan,Irish Parliamentary Party
Mayo East,John Dillon,Irish Parliamentary Party
Mayo North,Daniel Boyle,Irish Parliamentary Party
Mayo South,John Fitzgibbon,Irish Parliamentary Party
Mayo West,William Doris,Irish Parliamentary Party
Meath North,Patrick White,Irish Parliamentary Party
Meath South,David Sheehy,Irish Parliamentary Party
Monaghan North,James Carrige Rushe Lardner,Irish Parliamentary Party
Monaghan South,John McKean,Irish Parliamentary Party
Newry,John Joseph Mooney,Irish Parliamentary Party
Ossory,William Delany,Irish Parliamentary Party
Roscommon North,James Joseph O'Kelly,Irish Parliamentary Party
Roscommon South,John Patrick Hayden,Irish Parliamentary Party
Sligo North,Thomas Scanlan,Irish Parliamentary Party
Sligo South,John O'Dowd,Irish Parliamentary Party
Tipperary East,Thomas Joseph Condon,Irish Parliamentary Party
Tipperary Mid,John Hackett,Irish Parliamentary Party
Tipperary North,John Esmonde,Irish Parliamentary Party
Tipperary South,John Cullinan,Irish Parliamentary Party
Tullamore,Edmund Haviland-Burke,Irish Parliamentary Party
Tyrone East,William Redmond,Irish Parliamentary Party
Tyrone Mid,Richard McGhee,Irish Parliamentary Party
Tyrone North,Redmond John Barry,Liberal
Tyrone South,Andrew Long Horner,Irish Unionist
Waterford City,John Redmond,Irish Parliamentary Party
County Waterford East,Patrick Joseph Power,Irish Parliamentary Party
County Waterford West,James John O'Shee,Irish Parliamentary Party
Westmeath North,Laurence Ginnell,Irish parliamentary Party
Westmeath South,"Sir Walter Nugent, 4th Baronet",Irish Parliamentary Party
Wexford North,"Sir Thomas Esmonde, Bt",Irish Parliamentary Party
Wexford South,Peter Ffrench,Irish Parliamentary Party
Wicklow East,John Muldoon,Irish Parliamentary Party
Wicklow West,Edward Peter O'Kelly,Irish Parliamentary Party
